TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,mangaid
LTGs,9.945,9.685857340069939,0.34985928040271896,9.898637170407648,1.8796692056320534,1-247755
LTGs,10.123,9.428377128374482,0.4800078388540124,10.326026366342024,1.9722028383790644,1-247769
LTGs,10.03,9.899332100541715,0.39111244790800065,9.74571751734796,1.9537596917332287,1-247817
LTGs,9.935,9.742065419450844,0.4759617990907137,9.790753899881468,1.7442929831226763,1-247858
LTGs,9.658,9.51546566532823,0.30015944253332605,9.405845405079127,1.7371926427047373,1-247871
LTGs,10.291,10.238284462579745,0.7246030317092254,9.650093134561175,1.8715729355458788,1-247897
LTGs,10.001,9.883874097362108,0.5803548492634024,9.675651052073823,1.8524799936368563,1-247904
LTGs,10.116,9.897908210589515,0.3432102484547004,10.013392896475617,1.9410142437055697,1-247911
LTGs,10.356,10.229349278001008,0.6574371960501083,10.06006583736796,1.8785217955012066,1-247975
LTGs,10.768,10.562005823017355,0.8049560159588908,10.6461670583844,2.0273496077747564,1-247977
LTGs,11.048,10.950562341432303,1.0318524492127295,10.65216418621387,2.0835026198302673,1-24798
LTGs,10.951,10.668232533683126,0.8016781771370035,10.931935672771173,2.0806264869218056,1-247980
LTGs,11.119,10.975666953279884,0.6899309237427371,10.868894754997957,2.0153597554092144,1-248037
LTGs,9.953,9.866753645047709,0.5877122318557332,9.509576673058898,1.75815462196739,1-248096
LTGs,11.164,11.04605194942012,1.1294316424178077,10.841296314136288,2.0993352776859577,1-24814
LTGs,10.751,10.617700109386067,0.775391917319269,10.474128958810052,2.09377178149873,1-248208
LTGs,11.208,11.001929456625886,0.8388506631600229,11.086292855286757,2.2846562827885157,1-248233
LTGs,11.046,10.830963418277632,0.7015684958601144,10.93866709683931,2.291812687467119,1-248289
LTGs,10.797,10.41771439428707,0.6979262537784986,10.86328441109909,2.110252917353403,1-248357
LTGs,11.494,11.355059415595038,1.091737645693764,11.23245502885532,2.0629578340845103,1-248405
LTGs,9.968,9.715013761798204,0.4216048569642563,9.913972614140025,1.8048206787211623,1-248565
LTGs,11.069,10.94867235338734,0.9454670222856583,10.753835501998804,2.162862993321926,1-248848
LTGs,9.889,9.704768759970369,0.44622592680289186,9.728744819688616,1.8260748027008264,1-248973
LTGs,10.759,10.628622536664981,0.6924060345392791,10.473889089700865,2.1389339402569236,1-248992
LTGs,10.645,10.308767105305318,0.6494326223198007,10.677562149989072,2.1099158630237933,1-249009
LTGs,11.176,10.713242671763494,1.1084632701508212,11.293574600599229,2.19506899646859,1-249021
LTGs,10.905,10.506801006858126,0.7815413531339851,10.984353816599965,2.1956229435869368,1-249062
LTGs,11.033,10.832375883336926,0.754655082450977,10.902171550016888,2.245018870737753,1-249088
LTGs,10.978,10.770455970954844,0.8009232320883731,10.858708691579297,2.2065560440990297,1-249204
LTGs,11.18,10.93651030694332,0.8109697711749182,11.113654673165787,2.317854489331469,1-249206
LTGs,10.852,10.684423731706804,0.7203250452618107,10.658360928153913,2.0958664534785427,1-249641
LTGs,10.312,10.24448144165341,0.6235596470561887,9.771346849599142,1.9385197251764918,1-249663
